Airport (IATA),Airport (Name),Airport (City),Country (Name),Latitude,Longitude
AEX,Alexandria Intl,Alexandria,United States,31.3274,-92.549833
AFE,Kake Airport,Kake,United States,56.961389,-133.910278
AFW,Fort Worth Alliance Airport,Fort Worth,United States,32.987778,-97.318889
AGC,Allegheny County Airport,Pittsburgh,United States,40.3544,-79.9302
AGN,Angoon Seaplane Base,Angoon,United States,57.503611,-134.585
AGS,Augusta Rgnl At Bush Fld,Bush Field,United States,33.369944,-81.9645
AHN,Athens Ben Epps Airport,Athens,United States,33.9486,-83.3263
AIA,Alliance Municipal Airport,Alliance,United States,42.053333,-102.803889
AIK,Municipal Airport,Aiken,United States,33.6493889,-81.6850278
AIN,Wainwright Airport,Wainwright,United States,70.638056,-159.994722
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,38.096035,-92.5494875
AKB,Atka Airport,Atka,United States,52.220278,-174.206389
AKC,Akron Fulton Intl,Akron,United States,41.0375,-81.466917
AKI,Akiak Airport,Akiak,United States,60.902778,-161.230556
AKK,Akhiok Airport,Akhiok,United States,56.938611,-154.1825
AKN,King Salmon,King Salmon,United States,58.676778,-156.649278
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,68.1336,-151.743
ALB,Albany Intl,Albany,United States,42.748267,-73.801692
ALI,Alice Intl,Alice,United States,27.740889,-98.026944
ALM,Alamogordo White Sands Regional Airport,Alamogordo,United States,32.8399,-105.991
ALO,Waterloo Regional Airport,Waterloo,United States,42.5571,-92.4003
ALS,San Luis Valley Regional Airport,Alamosa,United States,37.435,-105.866667
ALW,Walla Walla Regional Airport,Walla Walla,United States,46.0949,-118.288
ALX,Alexandria,Alexandria,United States,38.806346,-77.0621
ALZ,Alitak Seaplane Base,Lazy Bay,United States,56.899444,-154.247778
AMA,Rick Husband Amarillo Intl,Amarillo,United States,35.219369,-101.705931
ANB,Anniston Metro,Anniston,United States,33.588167,-85.858111
ANC,Ted Stevens Anchorage Intl,Anchorage,United States,61.174361,-149.996361
AND,Anderson Rgnl,Andersen,United States,34.494583,-82.709389
ANI,Aniak Airport,Aniak,United States,61.5816,-159.543
ANN,Annette Island,Annette Island,United States,55.042436,-131.572233
ANP,Lee Airport,Annapolis,United States,38.942778,-76.568333
ANQ,Tri-State Steuben County Airport,Angola,United States,41.6396983,-85.0834933
ANV,Anvik Airport,Anvik,United States,62.6467,-160.191
AOH,Lima Allen County Airport,Lima,United States,40.707478,-84.0270781
AOO,Altoona Blair Co,Altoona,United States,40.296372,-78.320022
AOS,Amook Bay Seaplane Base,Amook Bay,United States,57.471389,-153.815278
APA,Centennial,Denver,United States,39.570129,-104.849294
APC,Napa County Airport,Napa,United States,38.2131944,-122.2806944
APF,Naples Muni,Naples,United States,26.152619,-81.775294
APG,Phillips Aaf,Aberdeen,United States,39.466219,-76.168808
APN,Alpena County Regional Airport,Alpena,United States,45.0781,-83.5603
AQC,Klawock Seaplane Base,Klawock,United States,55.554658,-133.101693
ARA,Acadiana Rgnl,Louisiana,United States,30.037758,-91.883896
ARB,Ann Arbor Municipal Airport,Ann Arbor,United States,42.132274,-83.444418
ARC,Arctic Village Airport,Arctic Village,United States,68.1147,-145.579
ART,Watertown Intl,Watertown,United States,43.991922,-76.021739
ARV,Lakeland,Minocqua - Woodruff,United States,45.927778,-89.730833
ASE,Aspen Pitkin County Sardy Field,Aspen,United States,39.2232,-106.869
ASH,Boire Field Airport,Nashua,United States,42.78175,-71.5147778
AST,Astoria Regional Airport,Astoria,United States,46.157972,-123.878694
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,70.4673,-157.436
ATL,Hartsfield Jackson Atlanta Intl,Atlanta,United States,33.636719,-84.428067
ATT,Camp Mabry Austin City,Austin TX,United States,30.31666,-97.7666
ATW,Appleton,Appleton,United States,44.257526,-88.507576
ATY,Watertown Regional Airport,Watertown,United States,44.914,-97.1547
AUG,Augusta State,Augusta,United States,44.320647,-69.797317
AUK,Alakanuk Airport,Alakanuk,United States,62.68,-164.66
AUS,Austin Bergstrom Intl,Austin,United States,30.194528,-97.669889
AUW,Wausau Downtown Airport,Wausau,United States,44.9262845,-89.6270018
AVL,Asheville Regional Airport,Asheville,United States,35.436194,-82.541806
AVO,Executive,Avon Park,United States,27.591389,-81.528889
AVP,Wilkes Barre Scranton Intl,Scranton,United States,41.338478,-75.723403
AVW,Marana Regional,Tucson,United States,32.409556,-111.218388
AVX,Avalon,Catalina Island,United States,33.405,-118.415833
AZA,Phoenix-Mesa Gateway,Mesa,United States,33.307833,-111.655
AZO,Kalamazoo,Kalamazoo,United States,42.234875,-85.552058
BAB,Beale Afb,Marysville,United States,39.136089,-121.436567
BAD,Barksdale Afb,Shreveport,United States,32.50182,-93.662674
BAF,Barnes Municipal,Westfield,United States,42.1579472,-72.715875
BBX,Wings Field,Philadelphia,United States,40.1375,-75.265
BCE,Bryce Canyon,Bryce Canyon,United States,37.706444,-112.145806
BCT,Boca Raton,Boca Raton,United States,26.3785,-80.107694
BDE,Baudette Intl,Baudette,United States,48.728444,-94.612222
BDL,Bradley Intl,Windsor Locks,United States,41.938889,-72.683222
BDR,Igor I Sikorsky Mem,Stratford,United States,41.163472,-73.126167
BEC,Beech Factory Airport,Wichita,United States,37.6939167,-97.2149167
BED,Laurence G Hanscom Fld,Bedford,United States,42.469953,-71.289031
BEH,Southwest Michigan Regional Airport,Benton Harbor,United States,42.1285833,-86.4285
BET,Bethel,Bethel,United States,60.779778,-161.838
BFD,Bradford Regional Airport,Bradford,United States,41.8031,-78.6401
BFF,Western Nebraska Regional Airport,Scottsbluff,United States,41.874,-103.596
BFI,Boeing Fld King Co Intl,Seattle,United States,47.53,-122.301947
BFL,Meadows Fld,Bakersfield,United States,35.433598,-119.05677
BFM,Mobile Downtown,Mobile,United States,30.626783,-88.068092
BFP,Beaver Falls,Beaver Falls,United States,40.7724722,-80.3914444
BFT,Beaufort,Beaufort,United States,32.477411,-80.723161
BFT2,BFT County Airport,Beauford,United States,32.41083,-80.635
BGE,Decatur County Industrial Air Park,Bainbridge,United States,30.9715981,-84.6369278
BGM,Greater Binghamton Edwin A Link Fld,Binghamton,United States,42.208689,-75.979839
BGR,Bangor Intl,Bangor,United States,44.807444,-68.828139
BHB,Hancock County - Bar Harbor,Bar Harbor,United States,44.4497689,-68.3615653
BHM,Birmingham Intl,Birmingham,United States,33.562942,-86.75355
BID,Block Island State Airport,Block Island,United States,41.168056,-71.577778
BIF,Biggs Aaf,El Paso,United States,31.849528,-106.380039
BIG,Allen Aaf,Delta Junction,United States,63.994547,-145.721642
BIL,Billings Logan International Airport,Billings,United States,45.80921,-108.537654
BIS,Bismarck Municipal Airport,Bismarck,United States,46.775842,-100.757931
BIV,Tulip City Airport,Holland,United States,42.7427778,-86.1078333
BIX,Keesler Afb,Biloxi,United States,30.410425,-88.924433
BJC,Rocky Mountain Metropolitan Airport,Broomfield-CO,United States,39.90888888,-105.1172222
BJI,Bemidji Regional Airport,Bemidji,United States,47.510722,-94.934722
BKC,Buckland Airport,Buckland,United States,65.981667,-161.149167
BKD,Stephens Co,Breckenridge,United States,32.719047,-98.891
BKF,Buckley Afb,Buckley,United States,39.701668,-104.75166
BKG,Branson LLC,Branson,United States,36.531994,-93.200556
BKH,Barking Sands Pmrf,Barking Sands,United States,22.022833,-159.785
BKL,Burke Lakefront Airport,Cleveland,United States,41.5175,-81.683333
BKW,Raleigh County Memorial Airport,Beckley,United States,37.7873,-81.1242
BKX,Brookings Regional Airport,Brookings,United States,44.3048,-96.8169
BLD,Boulder City Municipal Airport,Boulder City,United States,35.5651,-114.514
BLF,Mercer County Airport,Bluefield,United States,37.2958,-81.2077
BLH,Blythe Airport,Blythe,United States,33.619167,-114.716889
BLI,Bellingham Intl,Bellingham,United States,48.792694,-122.537528
BLV,Scott Afb Midamerica,Belleville,United States,38.545178,-89.835183
BMC,Brigham City,Brigham City,United States,41.552,-112.062
BMG,Monroe County Airport,Bloomington,United States,39.1460208,-86.6166805
BMI,Central Illinois Rgnl,Bloomington,United States,40.477111,-88.915917
BMX,Big Mountain Afs,Big Mountain,United States,59.361247,-155.258822
BNA,Nashville Intl,Nashville,United States,36.124472,-86.678194
BOI,Boise Air Terminal,Boise,United States,43.564361,-116.222861
BOS,General Edward Lawrence Logan Intl,Boston,United States,42.364347,-71.005181
BOW,Bartow Municipal Airport,Bartow,United States,27.9434,-81.7834
BPT,Southeast Texas Rgnl,Beaumont,United States,29.950833,-94.020694
BQK,Brunswick Golden Isles Airport,Brunswick,United States,31.2588,-81.4665
BRD,Brainerd Lakes Rgnl,Brainerd,United States,46.398308,-94.138078
BRL,Southeast Iowa Regional Airport,Burlington,United States,40.7832,-91.1255
BRO,Brownsville South Padre Island Intl,Brownsville,United States,25.906833,-97.425861
BRW,Wiley Post Will Rogers Mem,Barrow,United States,71.285446,-156.766003
BSF,Bradshaw Aaf,Bradshaw Field,United States,19.760056,-155.553717
BTI,Barter Island Lrrs,Barter Island,United States,70.133989,-143.581867
BTM,Bert Mooney Airport,Butte,United States,45.954806,-112.497472
BTR,Baton Rouge Metro Ryan Fld,Baton Rouge,United States,30.533167,-91.149639
BTT,Bettles,Bettles,United States,66.913944,-151.529056
BTV,Burlington Intl,Burlington,United States,44.471861,-73.153278
BUF,Buffalo Niagara Intl,Buffalo,United States,42.940525,-78.732167
BUR,Bob Hope,Burbank,United States,34.200667,-118.358667
BUU,Municipal Airport,Burlington,United States,42.6907171,-88.3046825
BUY,Burlington-Alamance Regional Airport,Burlington,United States,36.0485433,-79.4748892
BVY,Beverly Municipal Airport,Beverly,United States,42.584141,-70.9161444
BWD,KBWD,Brownwood,United States,31.7936111,-98.9565
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,United States,36.9645278,-86.4196667
BWI,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
BXK,Buckeye Municipal Airport,Buckeye,United States,33.420417,-112.68618
BXS,Borrego Valley Airport,Borrego Springs,United States,33.2590278,-116.3209722
BYH,Arkansas Intl,Blytheville,United States,35.964347,-89.943956
BYS,Bicycle Lake Aaf,Fort Irwin,United States,35.280531,-116.630031
BYW,Blakely Island Airport,Blakely Island,United States,48.56025,-122.80243
BZN,Gallatin Field,Bozeman,United States,45.777643,-111.160151
C02,Grand Geneva Resort Airport,Lake Geneva,United States,42.6149167,-88.3895833
C16,Frasca Field,Urbana,United States,40.144979,-88.200197
C47,Portage Municipal Airport,Portage,United States,43.5603136,-89.4828607
C65,Plymouth Municipal Airport,Plymouth,United States,41.3651307,-86.3002574
C89,Sylvania Airport,Sturtevant,United States,42.70325,-87.9589722
C91,Dowagiac Municipal Airport,Dowagiac,United States,41.9929342,-86.1280125
CAE,Columbia Metropolitan,Columbia,United States,33.938833,-81.119528
CAK,Akron Canton Regional Airport,Akron,United States,40.9160833,-81.4421944
CAR,Caribou Muni,Caribou,United States,46.8715,-68.017917
CBE,Greater Cumberland Rgnl.,Cumberland,United States,39.615278,-78.760556
CBM,Columbus Afb,Colombus,United States,33.643833,-88.443833
CCO,Coweta County Airport,Newnan,United States,33.3115656,-84.7697554
CCR,Buchanan Field Airport,Concord,United States,37.9896667,-122.0568889
CDB,Cold Bay,Cold Bay,United States,55.206061,-162.725436
CDC,Cedar City Rgnl,Cedar City,United States,37.700967,-113.098847
CDI,Cambridge Municipal Airport,Cambridge,United States,39.9750278,-81.5775833
CDK,CedarKey,Cedar Key,United States,29.1342222,-83.0504722
CDN,Woodward Field,Camden,United States,34.2835833,-80.5648611
CDR,Chadron Municipal Airport,Chadron,United States,42.8375,-103.095556
CDS,Childress Muni,Childress,United States,34.433781,-100.287992
CDV,Merle K Mudhole Smith,Cordova,United States,60.491778,-145.477556
CDW,Caldwell Essex County Airport,Caldwell,United States,40.8752222,-74.2813611
CEC,Del Norte County Airport,Crescent City,United States,41.7802,-124.237
CEF,Westover Arb Metropolitan,Chicopee Falls,United States,42.194014,-72.534783
CEM,Central Airport,Central,United States,65.573889,-144.780833
CEU,Clemson,Clemson,United States,34.6722222,-82.8858889
CEW,Bob Sikes,Crestview,United States,30.778833,-86.522111
CEZ,Cortez Muni,Cortez,United States,37.303,-108.628056
CFD,Coulter Fld,Bryan,United States,30.715694,-96.331361
CGA,Craig Seaplane Base,Craig,United States,55.478889,-133.147778
CGF,Cuyahoga County,Richmond Heights,United States,41.565124,-81.4863555
CGI,Cape Girardeau Regional Airport,Cape Girardeau,United States,37.2253,-89.5708
CGX,Meigs Field,Chicago,United States,41.860278,-87.609722
CGZ,Casa Grande Municipal Airport,Casa Grande,United States,32.954889,-111.766832
CHA,Lovell Fld,Chattanooga,United States,35.035278,-85.203808
CHI,All Airports,Chicago,United States,41.883611,-87.631667
CHO,Charlottesville-Albemarle,Charlottesville VA,United States,38.138639,-78.452861
CHS,Charleston Afb Intl,Charleston,United States,32.898647,-80.040528
CHU,Chuathbaluk Airport,Chuathbaluk,United States,61.579167,-159.215556
CIC,Chico Muni,Chico,United States,39.795383,-121.858422
CID,Cedar Rapids,Cedar Rapids,United States,41.884694,-91.710806
CIK,Chalkyitsik Airport,Chalkyitsik,United States,66.645,-143.74
CIL,Council Airport,Council,United States,64.897778,-163.703333
CIU,Chippewa County International Airport,Sault Ste Marie,United States,46.2508,-84.4724
CKB,Harrison Marion Regional Airport,Clarksburg,United States,39.2966,-80.2281
CKD,Crooked Creek Airport,Crooked Creek,United States,61.867778,-158.135
CKF,Crisp County Cordele Airport,Cordele,United States,31.9888333,-83.7739167
CKV,Clarksville-Montgomery County Regional Airport,Clarksville,United States,36.621944,-87.415
CLC,Clear Lake Metroport,Clear Lake City,United States,29.5569,-95.137497
CLD,McClellan-Palomar Airport,Carlsbad,United States,33.0742,-117.1648
CLE,Cleveland Hopkins Intl,Cleveland,United States,41.411689,-81.849794
CLL,Easterwood Fld,College Station,United States,30.588583,-96.363833
CLM,William R Fairchild International Airport,Port Angeles,United States,48.1202,-123.5
CLT,Charlotte Douglas Intl,Charlotte,United States,35.214,-80.943139
CLW,Clearwater Air Park,Clearwater,United States,27.9764722,-82.7586667
CMH,Port Columbus Intl,Columbus,United States,39.997972,-82.891889
CMI,Champaign,Champaign,United States,40.03925,-88.278056
CMX,Houghton County Memorial Airport,Hancock,United States,47.1684,-88.4891
CNM,Cavern City Air Terminal,Carlsbad,United States,32.337472,-104.263278
CNW,Tstc Waco,Waco,United States,31.637831,-97.074139
CNY,Canyonlands Field,Moab,United States,38.755,-109.754722
COD,Yellowstone Rgnl,Cody,United States,44.520194,-109.023806
COF,Patrick Afb,Coco Beach,United States,28.234922,-80.610125
CON,Concord Municipal,Concord NH,United States,43.20267,-71.50233
COS,City Of Colorado Springs Muni,Colorado Springs,United States,38.805805,-104.700778
COT,Cotulla Lasalle Co,Cotulla,United States,28.456694,-99.220294
COU,Columbia Rgnl,Columbia,United States,38.818094,-92.219631
CPR,Natrona Co Intl,Casper,United States,42.908,-106.464417
CPS,St. Louis Downtown Airport,East St. Louis,United States,38.5707244,-90.1562211
CRE,Grand Strand Airport,North Myrtle Beach,United States,33.81175,-78.7239444
CRP,Corpus Christi Intl,Corpus Christi,United States,27.770361,-97.501222
CRW,Yeager,Charleston,United States,38.373147,-81.593189
CSG,Columbus Metropolitan Airport,Columbus,United States,32.5163333,-84.9388611
CTB,Cut Bank Muni,Cutbank,United States,48.608353,-112.376144
CTH,Chester County G O Carlson Airport,Coatesville,United States,39.9789,-75.8654
CTJ,West Georgia Regional Airport - O V Gray Field,Carrollton,United States,33.6316964,-85.1522641
CTY,Cross City,Cross City,United States,29.6355278,-83.10475
CVG,Cincinnati Northern Kentucky Intl,Cincinnati,United States,39.048836,-84.667822
CVN,Clovis Muni,Clovis,United States,34.425139,-103.079278
CVS,Cannon Afb,Clovis,United States,34.382775,-103.322147
CVX,Charlevoix Municipal Airport,Charelvoix,United States,45.3047778,-85.2753333
CWA,Central Wisconsin,Wassau,United States,44.772726,-89.646635
CWI,Clinton Municipal,Clinton,United States,41.83075,-90.3289722
CXF,Coldfoot Airport,Coldfoot,United States,67.251389,-150.176111
CXL,Calexico Intl,Calexico,United States,32.669502,-115.51333
CXO,Lone Star Executive,Conroe,United States,30.351833,-95.414467
CXY,Capital City Airport,Harrisburg,United States,40.2171389,-76.8513611
CYF,Chefornak Airport,Chefornak,United States,60.149167,-164.285556
CYM,Chatham Seaplane Base,Sitka,United States,57.515,-134.946111
CYS,Cheyenne Rgnl Jerry Olson Fld,Cheyenne,United States,41.155722,-104.811839
CYT,Yakataga Airport,Yakataga,United States,60.081901,-142.493611
CZF,Cape Romanzof Lrrs,Cape Romanzof,United States,61.780297,-166.038747
CZN,Chisana Airport,Chisana,United States,62.071111,-142.048333
DAB,Daytona Beach Intl,Daytona Beach,United States,29.179917,-81.058056
DAL,Dallas Love Fld,Dallas,United States,32.847111,-96.851778
DAY,James M Cox Dayton Intl,Dayton,United States,39.902375,-84.219375
DBQ,Dubuque Rgnl,Dubuque IA,United States,42.402,-90.709472
DCA,Ronald Reagan Washington Natl,Washington,United States,38.852083,-77.037722
DDC,Dodge City Regional Airport,Dodge City,United States,37.7634,-99.9656
DEC,Decatur,Decatur,United States,39.834564,-88.865689
DEN,Denver Intl,Denver,United States,39.861656,-104.673178
DET,Coleman A Young Muni,Detroit,United States,42.409195,-83.009861
DFW,Dallas Fort Worth Intl,Dallas-Fort Worth,United States,32.896828,-97.037997
DGL,Douglas Municipal Airport,Douglas,United States,31.3426028,-109.5064544
DHN,Dothan Rgnl,Dothan,United States,31.321339,-85.449628
DHT,Dalhart Muni,Dalhart,United States,36.022586,-102.547278
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,United States,46.7975,-102.801944
DKB,De Kalb Taylor Municipal Airport,De Kalb,United States,41.9338342,-88.7056864
DKK,Chautauqua County-Dunkirk Airport,Dunkirk,United States,42.4933353,-79.2720417
DKX,Knoxville Downtown Island Airport,Knoxville,United States,35.9638333,-83.8736667
DLF,Laughlin Afb,Del Rio,United States,29.359486,-100.777975
DLG,Dillingham,Dillingham,United States,59.044667,-158.5055
DLH,Duluth Intl,Duluth,United States,46.842091,-92.193649
DLL,Baraboo Wisconsin Dells Airport,Baraboo,United States,43.5217843,-89.7709266
DMA,Davis Monthan Afb,Tucson,United States,32.166467,-110.883144
DNL,Daniel Field Airport,Augusta,United States,33.4665028,-82.0393808
DNN,Dalton Municipal Airport,Dalton,United States,34.7229444,-84.87025
DOV,Dover Afb,Dover,United States,39.129539,-75.465958
DPA,Dupage,West Chicago,United States,41.907778,-88.248611
DQH,Douglas Municipal Airport,Douglas,United States,31.4767385,-82.8605664
DRG,Deering Airport,Deering,United States,66.0696,-162.766
DRI,Beauregard Rgnl,Deridder,United States,30.831722,-93.339917
DRM,Drummond Island Airport,Drummond Island,United States,46.0093114,-83.7439342
DRO,Durango La Plata Co,Durango,United States,37.151516,-107.75377
DRT,Del Rio Intl,Del Rio,United States,29.374208,-100.927158
DSM,Des Moines Intl,Des Moines,United States,41.533972,-93.663083
DTA,Delta Municipal Airport,Delta,United States,39.3806386,-112.5077147
DTS,Destin,Destin,United States,30.4000611,-86.4714772
DTW,Detroit Metro Wayne Co,Detroit,United States,42.212444,-83.353389
DUC,Halliburton Field Airport,Duncan,United States,34.4713056,-97.9598611
DUG,Bisbee Douglas Intl,Douglas,United States,31.469028,-109.603667
DUJ,DuBois Regional Airport,Du Bois,United States,41.1783,-78.8987
DUT,Unalaska,Unalaska,United States,53.900139,-166.5435
DVL,Devils Lake Regional Airport,Devils Lake,United States,48.114444,-98.908611
DVT,Deer Valley Municipal Airport,Phoenix ,United States,33.4117,112.457
DWA,Yolo County Airport,Davis-Woodland-Winters,United States,38.5793889,-121.8569444
DWH,David Wayne Hooks Field,Houston,United States,30.063746,-95.554276
DWS,Orlando,Orlando,United States,28.398,-81.57
DXR,Danbury Municipal Airport,Danbury,United States,41.3715353,-73.4821906
DYS,Dyess Afb,Abilene,United States,32.420756,-99.8546
E25,Wickenburg Municipal Airport,Wickenburg,United States,33.96889877,-112.7990036
E51,Bagdad Airport,Bagdad,United States,34.5958528,-113.170195
E55,Ocean Ridge Airport,Gualala,United States,38.8016111,-123.5306389
E63,Gila Bend Municipal Airport,Gila Bend,United States,32.960169,-112.673636
E91,Chinle Municipal Airport,Chinle,United States,36.1108806,-109.5754222
EAA,Eagle Airport,Eagle,United States,64.778056,-141.149722
EAR,Kearney Municipal Airport,Kearney,United States,40.727,-99.0068
EAT,Pangborn Field,Wenatchee,United States,47.398,-120.206
EAU,Chippewa Valley Regional Airport,Eau Claire,United States,44.8658,-91.4843
ECA,Iosco County,East Tawas,United States,44.311,-83.422
ECG,Elizabeth City Cgas Rgnl,Elizabeth City,United States,36.260581,-76.174572
ECP,Panama City-NW Florida Bea.,Panama City,United States,30.3417,-85.7973
EDF,Elmendorf Afb,Anchorage,United States,61.250986,-149.806503
EDW,Edwards Afb,Edwards Afb,United States,34.905417,-117.883739
EEK,Eek Airport,Eek,United States,60.213611,-162.043889
EEN,Dillant Hopkins Airport,Keene,United States,72.270833,42.898333
EET,Shelby County Airport,Alabaster,United States,33.1777778,-86.7832222
EFD,Ellington Fld,Houston,United States,29.607333,-95.15875
EGA,Eagle County Airport,Eagle,United States,39.6427611,-106.9159347
EGE,Eagle Co Rgnl,Vail,United States,39.642556,-106.917694
EGT,Wellington Municipal,Wellington,United States,37.39411,-97.423225
